X Y Z U V W
0.000000 -0.144284 -9.990000 0.049505 -0.069057 -0.996384
0.108086 -0.066801 -9.990000 0.049505 -0.069057 -0.996384
0.108086 0.066801 -9.990000 0.092126 0.000000 -0.995747
0.000000 0.144284 -9.990000 -0.049505 0.069057 -0.996384
-0.108086 0.066801 -9.990000 -0.092126 0.000000 -0.995747
-0.108086 -0.066801 -9.990000 -0.092126 0.000000 -0.995747
0.000000 -0.144284 -9.990000 0.049505 -0.069057 -0.996384
0.000000 -1.922615 -9.790000 0.049608 -0.205849 -0.977326
0.631697 -1.770382 -9.790000 0.084103 -0.152272 -0.984754
1.329574 -1.384933 -9.790000 0.181286 -0.150476 -0.971850
1.638558 -1.012684 -9.790000 0.223786 -0.081426 -0.971231
1.816901 -0.522534 -9.790000 0.175916 0.000000 -0.984405
1.816901 0.522534 -9.790000 0.175916 0.000000 -0.984405
1.638558 1.012684 -9.790000 0.223786 0.081426 -0.971231
1.329574 1.384933 -9.790000 0.181286 0.150476 -0.971850
0.631697 1.770382 -9.790000 0.084103 0.152272 -0.984754
0.000000 1.922615 -9.790000 0.049608 0.205849 -0.977326
-0.631697 1.770382 -9.790000 -0.084103 0.152272 -0.984754
-1.329574 1.384933 -9.790000 -0.084103 0.152272 -0.984754
-1.638558 1.012684 -9.790000 -0.181286 0.150476 -0.971850
-1.816901 0.522534 -9.790000 -0.223786 0.081426 -0.971231
-1.816901 -0.522534 -9.790000 -0.223786 -0.081426 -0.971231
-1.638558 -1.012684 -9.790000 -0.223786 -0.081426 -0.971231
-1.329574 -1.384933 -9.790000 -0.084103 -0.152272 -0.984754
-0.631697 -1.770382 -9.790000 -0.084103 -0.152272 -0.984754
0.000000 -1.922615 -9.790000 0.049608 -0.205849 -0.977326
0.000000 -2.814177 -9.590000 0.050000 -0.338698 -0.939566
0.102794 -2.799002 -9.590000 0.084545 -0.291097 -0.952950
1.325927 -2.443759 -9.590000 0.181151 -0.288045 -0.940327
1.521466 -2.320785 -9.590000 0.181151 -0.288045 -0.940327
1.954928 -1.923240 -9.590000 0.181286 -0.150476 -0.971850
2.347200 -1.450649 -9.590000 0.223786 -0.081426 -0.971231
2.650611 -0.616771 -9.590000 0.223786 -0.081426 -0.971231
2.791317 -0.078657 -9.590000 0.356822 0.000000 -0.934172
2.791317 0.078657 -9.590000 0.356822 0.000000 -0.934172
2.650611 0.616771 -9.590000 0.223786 0.081426 -0.971231
2.347200 1.450649 -9.590000 0.181286 0.150476 -0.971850
1.954928 1.923240 -9.590000 0.181286 0.150476 -0.971850
1.521466 2.320785 -9.590000 0.181151 0.288045 -0.940327
1.325927 2.443759 -9.590000 0.181151 0.288045 -0.940327
0.102794 2.799002 -9.590000 0.050000 0.338698 -0.939566
0.000000 2.814177 -9.590000 0.050000 0.338698 -0.939566
-0.102794 2.799002 -9.590000 -0.050000 0.338698 -0.939566
-1.325927 2.443759 -9.590000 -0.084545 0.291097 -0.952950
-1.521466 2.320785 -9.590000 -0.181151 0.288045 -0.940327
-1.954928 1.923240 -9.590000 -0.181286 0.150476 -0.971850
-2.347200 1.450649 -9.590000 -0.223786 0.081426 -0.971231
-2.650611 0.616771 -9.590000 -0.223786 0.081426 -0.971231
-2.791317 0.078657 -9.590000 -0.356822 0.000000 -0.934172
-2.791317 -0.078657 -9.590000 -0.356822 0.000000 -0.934172
-2.650611 -0.616771 -9.590000 -0.223786 -0.081426 -0.971231
-2.347200 -1.450649 -9.590000 -0.181286 -0.150476 -0.971850
-1.954928 -1.923240 -9.590000 -0.181286 -0.150476 -0.971850
-1.521466 -2.320785 -9.590000 -0.216204 -0.235738 -0.947462
-1.325927 -2.443759 -9.590000 -0.084545 -0.291097 -0.952950
-0.102794 -2.799002 -9.590000 -0.084545 -0.291097 -0.952950
0.000000 -2.814177 -9.590000 0.050000 -0.338698 -0.939566
0.000000 -3.368987 -9.390000 0.050000 -0.338698 -0.939566
0.802460 -3.250523 -9.390000 0.050000 -0.338698 -0.939566
1.320524 -3.100058 -9.390000 0.181151 -0.288045 -0.940327
2.045073 -2.644392 -9.390000 0.216204 -0.235738 -0.947462
2.632871 -2.105299 -9.390000 0.216204 -0.235738 -0.947462
2.876254 -1.777623 -9.390000 0.308167 -0.228893 -0.923386
3.061660 -1.370840 -9.390000 0.311335 -0.081408 -0.946807
3.314923 -0.402264 -9.390000 0.311335 -0.081408 -0.946807
3.314923 0.402264 -9.390000 0.311335 0.081408 -0.946807
3.061660 1.370840 -9.390000 0.311335 0.081408 -0.946807
2.876254 1.777623 -9.390000 0.350587 0.159793 -0.922797
2.632871 2.105299 -9.390000 0.216204 0.235738 -0.947462
2.045073 2.644392 -9.390000 0.181151 0.288045 -0.940327
1.320524 3.100058 -9.390000 0.181151 0.288045 -0.940327
0.802460 3.250523 -9.390000 0.084545 0.291097 -0.952950
0.000000 3.368987 -9.390000 0.050000 0.338698 -0.939566
-0.802460 3.250523 -9.390000 -0.050000 0.338698 -0.939566
-1.320524 3.100058 -9.390000 -0.181151 0.288045 -0.940327
-2.045073 2.644392 -9.390000 -0.216204 0.235738 -0.947462
-2.632871 2.105299 -9.390000 -0.308167 0.228893 -0.923386
-2.876254 1.777623 -9.390000 -0.350587 0.159793 -0.922797
-3.061660 1.370840 -9.390000 -0.311335 0.081408 -0.946807
-3.314923 0.402264 -9.390000 -0.356822 0.000000 -0.934172
-3.314923 -0.402264 -9.390000 -0.356822 0.000000 -0.934172
-3.061660 -1.370840 -9.390000 -0.311335 -0.081408 -0.946807
-2.876254 -1.777623 -9.390000 -0.350587 -0.159793 -0.922797
-2.632871 -2.105299 -9.390000 -0.216204 -0.235738 -0.947462
-2.045073 -2.644392 -9.390000 -0.216204 -0.235738 -0.947462
